Knowledge preparation completed in 9.73 seconds
[0]: Semantic Similarity: 0.49988,	cache time: 0.0028154850006103516,	generate time: 0.0020072460174560547
[0]: [Cumulative]: Semantic Similarity: 0.49988,	 cache time: 0.0028154850006103516,	 generate time: 0.0020072460174560547
[1]: Semantic Similarity: 0.9708,	cache time: 0.001992464065551758,	generate time: 0.002002716064453125
[1]: [Cumulative]: Semantic Similarity: 0.73534,	 cache time: 0.0024039745330810547,	 generate time: 0.00200498104095459
[2]: Semantic Similarity: 0.96103,	cache time: 0.0020072460174560547,	generate time: 0.0019998550415039062
[2]: [Cumulative]: Semantic Similarity: 0.81057,	 cache time: 0.002271731694539388,	 generate time: 0.002003272374471029
[3]: Semantic Similarity: 0.26626,	cache time: 0.002001047134399414,	generate time: 0.0020034313201904297
[3]: [Cumulative]: Semantic Similarity: 0.67449,	 cache time: 0.0022040605545043945,	 generate time: 0.002003312110900879
[4]: Semantic Similarity: 0.3349,	cache time: 0.0009894371032714844,	generate time: 0.0019991397857666016
[4]: [Cumulative]: Semantic Similarity: 0.60657,	 cache time: 0.0019611358642578126,	 generate time: 0.0020024776458740234
[5]: Semantic Similarity: 0.23772,	cache time: 0.0010035037994384766,	generate time: 0.001999378204345703
[5]: [Cumulative]: Semantic Similarity: 0.5451,	 cache time: 0.0018015305201212566,	 generate time: 0.00200196107228597
[6]: Semantic Similarity: 0.20573,	cache time: 0.0010058879852294922,	generate time: 0.002000570297241211
[6]: [Cumulative]: Semantic Similarity: 0.49662,	 cache time: 0.0016878673008510045,	 generate time: 0.0020017623901367188
[7]: Semantic Similarity: 0.98327,	cache time: 0.0010001659393310547,	generate time: 0.0020074844360351562
[7]: [Cumulative]: Semantic Similarity: 0.55745,	 cache time: 0.0016019046306610107,	 generate time: 0.0020024776458740234
[8]: Semantic Similarity: 0.29076,	cache time: 0.002010345458984375,	generate time: 0.00199127197265625
[8]: [Cumulative]: Semantic Similarity: 0.52782,	 cache time: 0.0016472869449191624,	 generate time: 0.0020012325710720485
[9]: Semantic Similarity: 0.40382,	cache time: 0.0019943714141845703,	generate time: 0.001994609832763672
[9]: [Cumulative]: Semantic Similarity: 0.51542,	 cache time: 0.0016819953918457032,	 generate time: 0.002000570297241211
[10]: Semantic Similarity: 0.20988,	cache time: 0.002001523971557617,	generate time: 0.0010006427764892578
[10]: [Cumulative]: Semantic Similarity: 0.48764,	 cache time: 0.0017110434445467863,	 generate time: 0.0019096677953546698
[11]: Semantic Similarity: 0.36184,	cache time: 0.0019943714141845703,	generate time: 0.0010001659393310547
[11]: [Cumulative]: Semantic Similarity: 0.47716,	 cache time: 0.0017346541086832683,	 generate time: 0.0018338759740193684
[12]: Semantic Similarity: 0.02083,	cache time: 0.0009996891021728516,	generate time: 0.0019991397857666016
[12]: [Cumulative]: Semantic Similarity: 0.44205,	 cache time: 0.0016781183389516978,	 generate time: 0.0018465885749230017
[13]: Semantic Similarity: 0.51632,	cache time: 0.0010001659393310547,	generate time: 0.0020051002502441406
[13]: [Cumulative]: Semantic Similarity: 0.44736,	 cache time: 0.0016296931675502232,	 generate time: 0.0018579108374459402
[14]: Semantic Similarity: 0.24937,	cache time: 0.0020127296447753906,	generate time: 0.001995086669921875
[14]: [Cumulative]: Semantic Similarity: 0.43416,	 cache time: 0.0016552289326985678,	 generate time: 0.001867055892944336
[15]: Semantic Similarity: 0.13032,	cache time: 0.000997781753540039,	generate time: 0.00199127197265625
