Retriever BM25 prepared in 0.23427081108093262 seconds
[0]: Semantic Similarity: 0.68189,	retrieve time: 0.0019986629486083984,	generate time: 0.6085643768310547
[0]: [Cumulative]: Semantic Similarity: 0.68189,	 retrieve time: 0.0019986629486083984,	 generate time: 0.6085643768310547
[1]: Semantic Similarity: 0.9708,	retrieve time: 0.0020034313201904297,	generate time: 1.015882968902588
[1]: [Cumulative]: Semantic Similarity: 0.82635,	 retrieve time: 0.002001047134399414,	 generate time: 0.8122236728668213
[2]: Semantic Similarity: 0.49748,	retrieve time: 0.0010046958923339844,	generate time: 0.5306289196014404
[2]: [Cumulative]: Semantic Similarity: 0.71672,	 retrieve time: 0.0016689300537109375,	 generate time: 0.7183587551116943
[3]: Semantic Similarity: 0.91351,	retrieve time: 0.0,	generate time: 0.47411179542541504
[3]: [Cumulative]: Semantic Similarity: 0.76592,	 retrieve time: 0.0012516975402832031,	 generate time: 0.6572970151901245
[4]: Semantic Similarity: 0.3349,	retrieve time: 0.0,	generate time: 0.6332485675811768
[4]: [Cumulative]: Semantic Similarity: 0.67972,	 retrieve time: 0.0010013580322265625,	 generate time: 0.652487325668335
[5]: Semantic Similarity: 0.42198,	retrieve time: 0.0,	generate time: 0.5612409114837646
[5]: [Cumulative]: Semantic Similarity: 0.63676,	 retrieve time: 0.0008344650268554688,	 generate time: 0.6372795899709066
[6]: Semantic Similarity: 0.28384,	retrieve time: 0.0,	generate time: 0.5627400875091553
[6]: [Cumulative]: Semantic Similarity: 0.58634,	 retrieve time: 0.0007152557373046875,	 generate time: 0.6266310896192279
[7]: Semantic Similarity: 0.62858,	retrieve time: 0.0010001659393310547,	generate time: 0.9020354747772217
[7]: [Cumulative]: Semantic Similarity: 0.59162,	 retrieve time: 0.0007508695125579834,	 generate time: 0.661056637763977
[8]: Semantic Similarity: 0.18047,	retrieve time: 0.000990152359008789,	generate time: 0.5788319110870361
[8]: [Cumulative]: Semantic Similarity: 0.54594,	 retrieve time: 0.0007774564954969618,	 generate time: 0.6519205570220947
[9]: Semantic Similarity: 0.1003,	retrieve time: 0.0010118484497070312,	generate time: 0.47334718704223633
[9]: [Cumulative]: Semantic Similarity: 0.50138,	 retrieve time: 0.0008008956909179687,	 generate time: 0.6340632200241089
[10]: Semantic Similarity: 0.23878,	retrieve time: 0.0010106563568115234,	generate time: 0.5557329654693604
[10]: [Cumulative]: Semantic Similarity: 0.4775,	 retrieve time: 0.0008199648423628373,	 generate time: 0.626942287791859
[11]: Semantic Similarity: 0.35836,	retrieve time: 0.0009996891021728516,	generate time: 0.5867223739624023
[11]: [Cumulative]: Semantic Similarity: 0.46757,	 retrieve time: 0.0008349418640136719,	 generate time: 0.6235906283060709
[12]: Semantic Similarity: 0.01767,	retrieve time: 0.0009932518005371094,	generate time: 0.6108450889587402
[12]: [Cumulative]: Semantic Similarity: 0.43297,	 retrieve time: 0.0008471195514385516,	 generate time: 0.6226102022024301
[13]: Semantic Similarity: 0.5153,	retrieve time: 0.0,	generate time: 0.7029554843902588
[13]: [Cumulative]: Semantic Similarity: 0.43885,	 retrieve time: 0.0007866110120500837,	 generate time: 0.6283491509301322
[14]: Semantic Similarity: 0.24499,	retrieve time: 0.0009996891021728516,	generate time: 0.48966407775878906
[14]: [Cumulative]: Semantic Similarity: 0.42592,	 retrieve time: 0.0008008162180582683,	 generate time: 0.619103479385376
[15]: Semantic Similarity: 0.07457,	retrieve time: 0.0010085105895996094,	generate time: 0.5314681529998779
[15]: [Cumulative]: Semantic Similarity: 0.40396,	 retrieve time: 0.000813797116279602,	 generate time: 0.6136262714862823
[16]: Semantic Similarity: 0.26132,	retrieve time: 0.0010020732879638672,	generate time: 0.5095529556274414
[16]: [Cumulative]: Semantic Similarity: 0.39557,	 retrieve time: 0.0008248721852022059,	 generate time: 0.60750431172988
[17]: Semantic Similarity: 0.24642,	retrieve time: 0.0009989738464355469,	generate time: 0.5270164012908936
[17]: [Cumulative]: Semantic Similarity: 0.38729,	 retrieve time: 0.0008345444997151693,	 generate time: 0.6030327611499362
[18]: Semantic Similarity: 0.56379,	retrieve time: 0.0010035037994384766,	generate time: 0.5010085105895996
[18]: [Cumulative]: Semantic Similarity: 0.39658,	 retrieve time: 0.0008434370944374486,	 generate time: 0.5976630637520238
[19]: Semantic Similarity: 0.94969,	retrieve time: 0.000989675521850586,	generate time: 0.4971926212310791
[19]: [Cumulative]: Semantic Similarity: 0.42423,	 retrieve time: 0.0008507490158081055,	 generate time: 0.5926395416259765
[20]: Semantic Similarity: 0.57244,	retrieve time: 0.0010001659393310547,	generate time: 0.5729448795318604
[20]: [Cumulative]: Semantic Similarity: 0.43129,	 retrieve time: 0.0008578641074044364,	 generate time: 0.5917017005738758
[21]: Semantic Similarity: 0.54464,	retrieve time: 0.0009763240814208984,	generate time: 0.5090570449829102
[21]: [Cumulative]: Semantic Similarity: 0.43644,	 retrieve time: 0.0008632486516779119,	 generate time: 0.587945125319741
[22]: Semantic Similarity: 0.61762,	retrieve time: 0.0010068416595458984,	generate time: 0.5120220184326172
[22]: [Cumulative]: Semantic Similarity: 0.44432,	 retrieve time: 0.0008694918259330418,	 generate time: 0.5846441206724747
[23]: Semantic Similarity: 0.09083,	retrieve time: 0.0,	generate time: 0.6501185894012451
[23]: [Cumulative]: Semantic Similarity: 0.42959,	 retrieve time: 0.0008332629998524984,	 generate time: 0.5873722235361735
[24]: Semantic Similarity: 0.38399,	retrieve time: 0.0,	generate time: 0.5019454956054688
[24]: [Cumulative]: Semantic Similarity: 0.42777,	 retrieve time: 0.0007999324798583984,	 generate time: 0.5839551544189453
[25]: Semantic Similarity: 0.57061,	retrieve time: 0.0010013580322265625,	generate time: 1.8160228729248047
[25]: [Cumulative]: Semantic Similarity: 0.43326,	 retrieve time: 0.0008076796164879432,	 generate time: 0.6313423743614783
[26]: Semantic Similarity: 0.5769,	retrieve time: 0.0,	generate time: 2.8042261600494385
[26]: [Cumulative]: Semantic Similarity: 0.43858,	 retrieve time: 0.0007777655566180194,	 generate time: 0.7118195516091806
[27]: Semantic Similarity: 0.06198,	retrieve time: 0.0,	generate time: 2.824138641357422
[27]: [Cumulative]: Semantic Similarity: 0.42513,	 retrieve time: 0.000749988215310233,	 generate time: 0.7872595191001892
[28]: Semantic Similarity: 0.17627,	retrieve time: 0.0010020732879638672,	generate time: 2.916879177093506
[28]: [Cumulative]: Semantic Similarity: 0.41655,	 retrieve time: 0.0007586808040224273,	 generate time: 0.8606946797206484
[29]: Semantic Similarity: 0.96569,	retrieve time: 0.0009989738464355469,	generate time: 2.855151653289795
[29]: [Cumulative]: Semantic Similarity: 0.43485,	 retrieve time: 0.0007666905721028645,	 generate time: 0.9271765788396199
[30]: Semantic Similarity: 0.46729,	retrieve time: 0.0010001659393310547,	generate time: 3.3543813228607178
[30]: [Cumulative]: Semantic Similarity: 0.4359,	 retrieve time: 0.0007742220355618385,	 generate time: 1.005473506066107
[31]: Semantic Similarity: 0.50847,	retrieve time: 0.0009875297546386719,	generate time: 1.7885806560516357
